"Time or Position Data [mm, s]",Measured Data [any unit]
0,0.0912155567
0.000999999999998,0.0718065267
0.002000000000002,0.0571048048
0.003,0.0546951884
0.003999999999998,0.0566967641
0.005000000000003,0.065792293
0.006,0.0623688021
0.006999999999998,0.0600010314
0.008000000000003,0.0582319336
0.009,0.0520548686
0.009999999999998,0.0533917899
0.011000000000003,0.0510674716
0.012000000000001,0.0499952168
0.012999999999998,0.0409905716
0.014000000000003,0.0397831346
0.015000000000001,0.0429386076
0.015999999999998,0.05262963
0.017000000000003,0.0666593888
0.018000000000001,0.080719725
0.018999999999998,0.082466978
0.020000000000003,0.0735282902
0.021000000000001,0.0677213703
0.021999999999999,0.0598400019
0.023000000000003,0.0555844812
0.024000000000001,0.0503746244
0.024999999999999,0.0566441454
0.026000000000003,0.0603596655
0.027000000000001,0.0606215505
0.027999999999999,0.0638397281
0.029000000000004,0.0682102459
0.030000000000001,0.0683739593
0.030999999999999,0.0634714563
0.031999999999997,0.0570352819
0.033000000000001,0.0390537308
0.033999999999999,0.0299702525
0.034999999999997,0.0374049468
0.036000000000001,0.0530118494
0.036999999999999,0.0657524366
0.037999999999997,0.0777351121
0.039000000000002,0.0843377773
0.039999999999999,0.0747602226
0.040999999999997,0.0695873773
0.042000000000002,0.0732208186
0.042999999999999,0.0761074864
0.043999999999997,0.0601826661
0.045000000000002,0.057501072
0.045999999999999,0.0572367181
0.046999999999997,0.0654245798
0.048000000000002,0.080683864
0.049,0.0774115083
0.049999999999997,0.07449173
0.051000000000002,0.058938664
0.052,0.0434193197
0.052999999999997,0.044115718
0.054000000000002,0.0511239322
0.055,0.0499727731
0.055999999999997,0.0484659897
0.057000000000002,0.0537248549
0.058,0.0618241719
0.058999999999998,0.0809925278
0.060000000000002,0.0931538347
0.061,0.0962353112
0.061999999999998,0.0952853583
0.063000000000002,0.0888604443
0.064,0.0755750535
0.064999999999998,0.0718393419
0.066000000000003,0.0726838006
0.067,0.0781760913
0.067999999999998,0.0799169512
0.069000000000003,0.0780158837
0.07,0.0669351912
0.070999999999998,0.0574638075
0.072000000000003,0.0519900144
0.073,0.0509305878
0.073999999999998,0.0471015356
0.075000000000003,0.0506351956
0.076000000000001,0.0547175644
0.076999999999998,0.0628265657
0.078000000000003,0.0788003922
0.079000000000001,0.0972381755
0.079999999999998,0.1053922391
0.081000000000003,0.0938689512
0.082000000000001,0.0847805847
0.082999999999998,0.0774431797
0.084000000000003,0.0744590346
0.085000000000001,0.0622002801
0.085999999999999,0.0694321942
0.087000000000003,0.0699019176
0.088000000000001,0.0715880624
0.088999999999999,0.065126139
0.090000000000003,0.0563545812
0.091000000000001,0.0487178399
0.091999999999999,0.0530817236
0.093000000000004,0.0644834252
0.094000000000001,0.0592912633
0.094999999999999,0.0578780919
0.095999999999997,0.0609804505
0.097000000000001,0.0743729037
0.097999999999999,0.0918244164
0.098999999999997,0.0944117908
0.100000000000001,0.0931246096
0.100999999999999,0.0848377077
0.101999999999997,0.0753565725
0.103000000000002,0.0798123923
0.103999999999999,0.0618224372
0.104999999999997,0.063618021
0.106000000000002,0.0861905583
0.106999999999999,0.0730321957
0.107999999999997,0.0642589628
0.109000000000002,0.0587191941
0.109999999999999,0.0577547676
0.110999999999997,0.0584455647
0.112000000000002,0.0583083444
0.113,0.05609969
0.113999999999997,0.0531895819
0.115000000000002,0.0535689565
0.116,0.0642624872
0.116999999999997,0.0866881555
0.118000000000002,0.0768908959
0.119,0.0825376199
0.119999999999997,0.0904198742
0.121000000000002,0.0902874739
0.122,0.0903337541
0.122999999999998,0.0799096503
0.124000000000002,0.0566734968
0.125,0.0313372843
0.125999999999998,0.0559445692
0.127000000000002,0.058531941
0.128,0.0634075449
0.128999999999998,0.0679212901
0.130000000000003,0.0702044955
0.131,0.0600239455
0.131999999999998,0.0469186841
0.133000000000003,0.0453576586
0.134,0.0369420059
0.134999999999998,0.0437184853
0.136000000000003,0.059106882
0.137,0.0872038478
0.137999999999998,0.0847219035
0.139000000000003,0.0774617573
0.140000000000001,0.082440797
0.140999999999998,0.0877302545
0.142000000000003,0.0877668392
0.143000000000001,0.0760932264
0.143999999999998,0.0637958551
0.145000000000003,0.0546189302
0.146000000000001,0.0488136201
0.146999999999998,0.060958844
0.148000000000003,0.0722843375
0.149000000000001,0.0724641441
0.149999999999999,0.0700360896
0.151000000000003,0.0542802462
0.152000000000001,0.041356834
0.152999999999999,0.0427196799
0.154000000000003,0.0447598752
0.155000000000001,0.0490129777
0.155999999999999,0.0613963761
0.156999999999996,0.0606975149
0.158000000000001,0.0655991103
0.158999999999999,0.0672113168
0.159999999999997,0.0779515839
0.161000000000001,0.0862520398
0.161999999999999,0.0742604353
0.162999999999997,0.0671353665
0.164000000000001,0.054846044
0.164999999999999,0.0582205045
0.165999999999997,0.066310195
0.167000000000002,0.0749131769
0.167999999999999,0.0771159158
0.168999999999997,0.0729862809
0.170000000000002,0.0629307095
0.170999999999999,0.0534293034
0.171999999999997,0.0414360854
0.173000000000002,0.03990677
0.174,0.0470027949
0.174999999999997,0.0455104903
0.176000000000002,0.0450736188
0.177,0.0516811006
0.177999999999997,0.0642011482
0.179000000000002,0.0823089443
0.18,0.087603913
0.180999999999997,0.0852039443
0.182000000000002,0.0807198856
0.183,0.0754868548
0.183999999999998,0.0650691794
0.185000000000002,0.0587830784
0.186,0.0664768727
0.186999999999998,0.0714902881
0.188000000000002,0.0710424558
0.189,0.061852988
0.189999999999998,0.0530897178
0.191000000000003,0.049243178
0.192,0.0412926236
0.192999999999998,0.0366567376
0.194000000000003,0.0515297838
0.195,0.0343767548
0.195999999999998,0.0278729892
0.197000000000003,0.0374669983
0.198,0.0572420784
0.198999999999998,0.0808489438
0.200000000000003,0.0795465498
0.201000000000001,0.0791309
0.201999999999998,0.0723843226
0.203000000000003,0.0693229253
0.204000000000001,0.0671419352
0.204999999999998,0.0641207718
0.206000000000003,0.0675436706
0.207000000000001,0.0592696358
0.207999999999998,0.0574328487
0.209000000000003,0.0588487982
0.210000000000001,0.0631018354
0.210999999999999,0.0658859876
0.212000000000003,0.06004849
0.213000000000001,0.0483287572
0.213999999999999,0.0331683754
0.215000000000003,0.0297923411
0.216000000000001,0.0409510444
0.216999999999999,0.0528611707
0.218000000000004,0.0700935076
0.219000000000001,0.06673592
0.219999999999999,0.0665488033
0.220999999999997,0.061359327
0.222000000000001,0.0647884881
0.222999999999999,0.0490503554
0.223999999999997,0.053499631
0.225000000000001,0.0473000324
0.225999999999999,0.0371848002
0.226999999999997,0.039849424
0.228000000000002,0.054882685
0.228999999999999,0.0671068538
0.229999999999997,0.0716576308
0.231000000000002,0.0617965315
0.231999999999999,0.0486285174
0.232999999999997,0.0437784412
0.234000000000002,0.0422434279
0.234999999999999,0.0423025399
0.235999999999997,0.0746912079
0.237000000000002,0.0541331144
0.238,0.0637344046
0.238999999999997,0.0698333548
0.240000000000002,0.0697069284
0.241,0.0674887105
0.241999999999997,0.0694806395
0.243000000000002,0.0593586789
0.244,0.0514669499
0.244999999999997,0.0464405598
0.246000000000002,0.0495412948
0.247,0.0531430665
0.247999999999998,0.055323285
0.249000000000002,0.0616079896
0.25,0.0595490738
0.250999999999998,0.0466514188
0.252000000000002,0.036484785
0.253,0.0485258615
0.253999999999998,0.0443379348
0.255000000000003,0.0537099924
0.256,0.0575300143
0.256999999999998,0.0543141251
0.258000000000003,0.082863592
0.259,0.1282663118
0.259999999999998,0.0831095129
0.261000000000003,0.0762935423
0.262,0.0580174622
0.262999999999998,0.0590596668
0.264000000000003,0.044992027
0.265000000000001,0.0332658694
0.265999999999998,0.0359255004
0.267000000000003,0.0487595207
0.268000000000001,0.0592390006
0.268999999999998,0.0532711264
0.270000000000003,0.0411442536
0.271000000000001,0.0382212582
0.271999999999998,0.0390142858
0.273000000000003,0.0555270461
0.274000000000001,0.0465844601
0.274999999999999,0.0516872264
0.276000000000003,0.0557615714
0.277000000000001,0.0595363806
0.277999999999999,0.0749775203
0.279000000000003,0.0838942465
0.280000000000001,0.0863841723
0.280999999999999,0.0720387822
0.281999999999996,0.0624010648
0.283000000000001,0.0601620356
0.283999999999999,0.0497269619
0.284999999999997,0.0586390605
0.286000000000001,0.0652337573
0.286999999999999,0.0722886451
0.287999999999997,0.0578059325
0.289000000000001,0.0503544154
0.289999999999999,0.0472318577
0.290999999999997,0.053868337
0.292000000000002,0.0647900626
0.292999999999999,0.0616980123
0.293999999999997,0.0577257237
0.295000000000002,0.0607458062
0.295999999999999,0.058360064
0.296999999999997,0.0707387041
0.298000000000002,0.0922180632
0.298999999999999,0.0971594322
0.299999999999997,0.0926659224
0.301000000000002,0.0904542507
0.302,0.0708332136
0.302999999999997,0.0726838277
0.304000000000002,0.0729358162
0.305,0.0701144222
0.305999999999997,0.0618580868
0.307000000000002,0.0551367105
0.308,0.0588458144
0.308999999999997,0.0460560052
0.310000000000002,0.0535261004
0.311,0.0602740108
0.311999999999998,0.0520356552
0.313000000000002,0.0465197083
0.314,0.0545788217
0.314999999999998,0.0596185223
0.316000000000002,0.0732183695
0.317,0.082571215
0.317999999999998,0.0874271078
0.319000000000003,0.0855952429
0.32,0.0914252694
0.320999999999998,0.0920732952
0.322000000000003,0.0835254286
0.323,0.0813491593
0.323999999999998,0.0588825908
0.325000000000003,0.0563676578
0.326000000000001,0.047466078
0.326999999999998,0.0428079055
0.328000000000003,0.0492514689
0.329000000000001,0.0590003829
0.329999999999998,0.0723266931
0.331000000000003,0.0693087255
0.332000000000001,0.0617782992
0.332999999999998,0.0700932946
0.334000000000003,0.0657096546
0.335000000000001,0.0811926345
0.335999999999999,0.0911623018
0.337000000000003,0.0910057182
0.338000000000001,0.0997361983
0.338999999999999,0.0897691211
0.340000000000003,0.0986531344
0.341000000000001,0.0852127721
0.341999999999999,0.0714959391
0.343000000000004,0.0673540148
0.344000000000001,0.0531786322
0.344999999999999,0.0400223614
0.345999999999997,0.0388392169
0.347000000000001,0.0458635112
0.347999999999999,0.0643209992
0.348999999999997,0.0619461341
0.350000000000001,0.0600705497
0.350999999999999,0.045305916
0.351999999999997,0.0570069392
0.353000000000002,0.0560505984
0.353999999999999,0.0503500638
0.354999999999997,0.0606434503
0.356000000000002,0.0657156207
0.356999999999999,0.065430815
0.357999999999997,0.0661805769
0.359000000000002,0.0729617197
0.359999999999999,0.0801308522
0.360999999999997,0.0880095344
0.362000000000002,0.0874295718
0.363,0.0833137056
0.363999999999997,0.0756190135
0.365000000000002,0.0730133719
0.366,0.0501904753
0.366999999999997,0.0618909118
0.368000000000002,0.0617777997
0.369,0.0596274221
0.369999999999997,0.0493623113
0.371000000000002,0.0421004789
0.372,0.0250780687
0.372999999999998,0.0444056662
0.374000000000002,0.0532341083
0.375,0.0619911526
0.375999999999998,0.0652415551
0.377000000000002,0.0667840895
0.378,0.0801633122
0.378999999999998,0.094086144
0.380000000000003,0.0929591702
0.381,0.0813650582
0.381999999999998,0.0705533025
0.383000000000003,0.061303887
0.384,0.0522118962
0.384999999999998,0.0475250493
0.386000000000003,0.0461088512
0.387,0.0433195391
0.387999999999998,0.0436522169
0.389000000000003,0.0466787728
0.390000000000001,0.0536243176
0.390999999999998,0.0429285105
0.392000000000003,0.0453452791
0.393000000000001,0.0429020867
0.393999999999998,0.0541481878
0.395000000000003,0.0512428903
0.396000000000001,0.0618930155
0.396999999999998,0.0754378203
0.398000000000003,0.0952135474
0.399000000000001,0.0936212234
0.399999999999999,0.0882986887
0.401000000000003,0.074291278
0.402000000000001,0.0690328495
0.402999999999999,0.0620536174
0.404000000000004,0.0455494196
0.405000000000001,0.0429911279
0.405999999999999,0.0517536959
0.406999999999997,0.0533200817
0.408000000000001,0.0439291425
0.408999999999999,0.0621653813
0.409999999999997,0.071566001
0.411000000000001,0.0575555557
0.411999999999999,0.0471555589
0.412999999999997,0.0439251136
0.414000000000002,0.0407946305
0.414999999999999,0.0431856065
0.415999999999997,0.0608186332
0.417000000000002,0.0733235761
0.417999999999999,0.0851358533
0.418999999999997,0.0789016833
0.420000000000002,0.0843021443
0.420999999999999,0.0761650866
0.421999999999997,0.0690718163
0.423000000000002,0.0663901876
0.424,0.0620652962
0.424999999999997,0.0553411093
0.426000000000002,0.0476720698
0.427,0.0354036265
0.427999999999997,0.039394173
0.429000000000002,0.0371338965
0.43,0.0408460534
0.430999999999997,0.0561197845
0.432000000000002,0.0245204811
0.433,0.0139521561
0.433999999999998,0.0101343373
0.435000000000002,0.0190491569
0.436,0.0349413222
0.436999999999998,0.046351446
0.438000000000002,0.0580491979
0.439,0.0662253091
0.439999999999998,0.0804996488
0.441000000000003,0.0835752234
0.442,0.0744005164
0.442999999999998,0.0583517505
0.444000000000003,0.0499740346
0.445,0.0406183518
0.445999999999998,0.0450411276
0.447000000000003,0.0528684665
0.448,0.0611874594
0.448999999999998,0.0643522677
0.450000000000003,0.0531828016
0.451000000000001,0.0469397133
0.451999999999998,0.0348082158
0.453000000000003,0.0456725059
0.454000000000001,0.0430044069
0.454999999999998,0.0510350717
0.456000000000003,0.0503377619
0.457000000000001,0.0414285406
0.457999999999998,0.0430657689
0.459000000000003,0.0550211986
0.460000000000001,0.0511409433
0.460999999999999,0.0568917797
0.462000000000003,0.0441598553
0.463000000000001,0.0409503402
0.463999999999999,0.0410963223
0.465000000000003,0.0392384191
0.466000000000001,0.0640040387
0.466999999999999,0.0653087421
0.468000000000004,0.063019679
0.469000000000001,0.0668397826
0.469999999999999,0.0462027991
0.470999999999997,0.0613323796
0.472000000000001,0.0510563026
0.472999999999999,0.042860731
0.473999999999997,0.0214242179
0.475000000000001,0.014571597
0.475999999999999,0.0195046393
0.476999999999997,0.0247328974
0.478000000000002,0.0443329336
0.478999999999999,0.0658042067
0.479999999999997,0.0714026009
0.481000000000002,0.0613791896
0.481999999999999,0.0602102676
0.482999999999997,0.0527511965
0.484000000000002,0.0500512796
0.484999999999999,0.0569983128
0.485999999999997,0.0642434316
0.487000000000002,0.0593511933
0.488,0.0652553854
0.488999999999997,0.0587004704
0.490000000000002,0.0458041596
0.491,0.0480438873
0.491999999999997,0.0292328582
0.493000000000002,0.0276186809
0.494,0.0114984336
0.494999999999997,0.0161763101
0.496000000000002,0.0437946843
0.497,0.0445887457
0.497999999999998,0.0612492905
0.499000000000002,0.0674656989
0.5,0.0623531726
0.500999999999998,0.0518216999
0.502000000000002,0.0689333123
0.503,0.0566016733
0.503999999999998,0.049256902
0.505000000000003,0.0458664269
0.506,0.0467446725
0.506999999999998,0.0496189495
0.508000000000003,0.0470163934
0.509,0.0620941439
0.509999999999998,0.0692793856
0.511000000000003,0.0614212058
0.512,0.0475794025
0.512999999999998,0.0276702022
0.514000000000003,0.0278548321
0.515000000000001,0.0339878425
